County,Year,Population,Median Income,Poverty Rate,Unemployment Rate,Uninsured Rate,Cost Burdern Rate
"Ventura County, California",2023,"833,071","$107,327.00",9.00%,4.20%,7.90%,0.336
"Yolo County, California",2018,"220,118","$65,923.00",19.60%,4.30%,5.90%,0.298
"Yolo County, California",2019,"220,500","$70,228.00",19.10%,4.20%,4.80%,0.302
"Yolo County, California",2020,"217,768","$73,746.00",18.60%,7.80%,4.30%,0.306
"Yolo County, California",2021,"213,545","$78,386.00",17.20%,6.00%,4.50%,0.31
"Yolo County, California",2022,"223,338","$85,097.00",17.40%,4.20%,4.70%,0.314
"Yolo County, California",2023,"222,919","$88,818.00",16.30%,4.80%,4.60%,0.319
"Yuba County, California",2018,"77,557","$52,624.00",18.00%,6.20%,8.00%,0.35
"Yuba County, California",2019,"78,668","$58,054.00",15.50%,5.90%,7.20%,0.354
"Yuba County, California",2020,"82,001","$59,424.00",15.10%,10.20%,7.10%,0.358
"Yuba County, California",2021,"83,035","$62,666.00",15.20%,8.00%,7.10%,0.362
"Yuba County, California",2022,"84,335","$66,693.00",15.40%,5.30%,6.90%,0.367
"Yuba County, California",2023,"85,695","$73,313.00",15.30%,6.20%,6.90%,0.373
